hue__tmp_padova_plantaginaceae.id,hue__tmp_padova_plantaginaceae.data,hue__tmp_padova_plantaginaceae.aceraceae,hue__tmp_padova_plantaginaceae.alternaria,hue__tmp_padova_plantaginaceae.altripollini,hue__tmp_padova_plantaginaceae.alnus,hue__tmp_padova_plantaginaceae.ambrosia,hue__tmp_padova_plantaginaceae.artemisia,hue__tmp_padova_plantaginaceae.betulaceae,hue__tmp_padova_plantaginaceae.betula,hue__tmp_padova_plantaginaceae.compositae,hue__tmp_padova_plantaginaceae.corylaceae,hue__tmp_padova_plantaginaceae.cupressaceaetaxaceae,hue__tmp_padova_plantaginaceae.carpinus,hue__tmp_padova_plantaginaceae.castaneasativa,hue__tmp_padova_plantaginaceae.fagaceae,hue__tmp_padova_plantaginaceae.fagussylvatica,hue__tmp_padova_plantaginaceae.gramineae,hue__tmp_padova_plantaginaceae.oleaceae,hue__tmp_padova_plantaginaceae.pinaceae,hue__tmp_padova_plantaginaceae.plantaginaceae,hue__tmp_padova_plantaginaceae.platanaceae,hue__tmp_padova_plantaginaceae.populus,hue__tmp_padova_plantaginaceae.quercus,hue__tmp_padova_plantaginaceae.salicaceae,hue__tmp_padova_plantaginaceae.salix,hue__tmp_padova_plantaginaceae.ulmaceae,hue__tmp_padova_plantaginaceae.urticaceae,hue__tmp_padova_plantaginaceae.tmed,hue__tmp_padova_plantaginaceae.tmin,hue__tmp_padova_plantaginaceae.tmax,hue__tmp_padova_plantaginaceae.precipitazione,hue__tmp_padova_plantaginaceae.umin,hue__tmp_padova_plantaginaceae.umax,hue__tmp_padova_plantaginaceae.classplantaginaceae
982,NULL,0.0,7.0,3.0,21.0,0.0,0.0,23.0,1.0,0.0,19.0,240.0,0.0,0.0,0.0,0.0,0.0,11.0,NULL,0.0,0.0,29.0,0.0,31.0,2.0,NULL,0.0,10.1,5.5,15.8,0.0,60.0,98.0,assente
983,NULL,2.0,6.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,124.0,0.0,0.0,0.0,0.0,0.0,11.0,NULL,0.0,0.0,14.0,0.0,14.0,0.0,NULL,1.0,9.9,7.8,12.2,1.2,85.0,100.0,assente
984,NULL,1.0,6.0,3.0,8.0,0.0,0.0,8.0,0.0,0.0,2.0,266.0,0.0,0.0,0.0,0.0,0.0,28.0,NULL,0.0,0.0,42.0,0.0,42.0,0.0,NULL,0.0,10.2,6.7,14.6,0.4,51.0,94.0,assente
985,NULL,0.0,3.0,3.0,6.0,0.0,0.0,7.0,0.0,0.0,6.0,158.0,0.0,0.0,0.0,0.0,0.0,19.0,NULL,0.0,0.0,25.0,0.0,28.0,3.0,NULL,0.0,9.7,6.3,13.8,0.2,57.0,97.0,assente
986,NULL,0.0,12.0,2.0,10.0,0.0,0.0,17.0,7.0,0.0,33.0,240.0,24.0,0.0,0.0,0.0,0.0,24.0,NULL,0.0,0.0,14.0,0.0,15.0,1.0,NULL,0.0,11.3,5.6,17.7,0.0,29.0,96.0,assente
987,NULL,0.0,12.0,1.0,8.0,0.0,0.0,13.0,5.0,0.0,22.0,278.0,18.0,0.0,0.0,0.0,0.0,17.0,NULL,0.0,0.0,6.0,0.0,7.0,1.0,NULL,0.0,11.1,4.6,17.6,0.0,20.0,69.0,assente
988,NULL,0.0,12.0,2.0,10.0,0.0,0.0,12.0,2.0,0.0,25.0,272.0,23.0,0.0,0.0,0.0,1.0,18.0,NULL,0.0,0.0,17.0,0.0,19.0,2.0,NULL,0.0,11.6,5.9,18.9,0.0,30.0,79.0,assente
989,NULL,9.0,12.0,3.0,17.0,0.0,0.0,23.0,6.0,0.0,52.0,533.0,46.0,0.0,0.0,0.0,0.0,23.0,NULL,0.0,0.0,17.0,0.0,19.0,2.0,NULL,0.0,13.1,7.2,21.8,0.0,13.0,76.0,assente
990,NULL,6.0,6.0,4.0,24.0,0.0,0.0,27.0,3.0,0.0,12.0,301.0,10.0,0.0,0.0,0.0,0.0,15.0,NULL,0.0,0.0,45.0,0.0,45.0,0.0,NULL,0.0,10.4,4.2,16.2,0.0,26.0,61.0,assente
991,NULL,13.0,5.0,3.0,11.0,0.0,0.0,13.0,2.0,0.0,10.0,79.0,9.0,0.0,0.0,0.0,0.0,3.0,NULL,0.0,0.0,40.0,0.0,41.0,1.0,NULL,0.0,9.5,5.5,14.7,0.0,37.0,83.0,assente
992,NULL,8.0,8.0,0.0,10.0,0.0,0.0,12.0,1.0,0.0,5.0,42.0,3.0,0.0,0.0,0.0,0.0,5.0,NULL,0.0,0.0,71.0,0.0,71.0,0.0,NULL,0.0,9.3,3.7,15.5,0.0,36.0,90.0,assente
993,NULL,10.0,22.0,3.0,4.0,0.0,0.0,5.0,1.0,0.0,3.0,122.0,3.0,0.0,0.0,0.0,2.0,5.0,NULL,0.0,0.0,147.0,0.0,148.0,0.0,NULL,0.0,11.3,5.5,18.0,0.0,40.0,92.0,assente
994,NULL,103.0,7.0,3.0,7.0,0.0,0.0,9.0,2.0,0.0,13.0,127.0,12.0,0.0,0.0,0.0,1.0,13.0,NULL,0.0,0.0,136.0,0.0,138.0,2.0,NULL,0.0,11.8,6.5,17.6,0.0,38.0,99.0,assente
995,NULL,50.0,4.0,1.0,4.0,0.0,0.0,8.0,3.0,0.0,7.0,117.0,6.0,0.0,0.0,0.0,1.0,12.0,NULL,0.0,0.0,80.0,0.0,83.0,3.0,NULL,0.0,11.9,6.5,19.4,0.0,34.0,88.0,assente
996,NULL,57.0,8.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,9.0,84.0,8.0,0.0,0.0,0.0,0.0,13.0,NULL,0.0,0.0,42.0,0.0,45.0,3.0,NULL,0.0,11.7,6.1,19.2,0.0,46.0,93.0,assente
997,NULL,36.0,7.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,8.0,92.0,8.0,0.0,0.0,0.0,0.0,37.0,NULL,0.0,0.0,45.0,0.0,46.0,0.0,NULL,0.0,11.1,8.0,15.5,0.0,63.0,91.0,assente
998,NULL,5.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,110.0,6.0,0.0,0.0,0.0,0.0,34.0,NULL,0.0,0.0,43.0,0.0,45.0,2.0,NULL,0.0,11.6,7.8,16.5,0.0,62.0,99.0,assente
999,NULL,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,2.0,0.0,0.0,0.0,0.0,9.0,NULL,0.0,0.0,8.0,0.0,8.0,0.0,NULL,0.0,12.1,8.3,17.3,0.0,63.0,100.0,assente
1000,NULL,50.0,4.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,63.0,1.0,0.0,0.0,0.0,0.0,20.0,NULL,0.0,0.0,23.0,0.0,26.0,3.0,NULL,1.0,12.3,10.2,15.0,0.0,76.0,99.0,assente
1001,NULL,47.0,9.0,6.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,118.0,7.0,0.0,0.0,0.0,0.0,40.0,NULL,0.0,0.0,27.0,0.0,28.0,1.0,NULL,0.0,12.1,10.3,13.6,0.0,87.0,99.0,assente
1002,NULL,63.0,8.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,10.0,137.0,10.0,0.0,0.0,0.0,0.0,27.0,NULL,0.0,1.0,35.0,0.0,41.0,6.0,NULL,0.0,14.6,11.4,19.8,0.0,59.0,98.0,assente
1003,NULL,54.0,10.0,5.0,1.0,0.0,0.0,6.0,5.0,0.0,11.0,106.0,11.0,0.0,0.0,0.0,0.0,29.0,NULL,0.0,8.0,35.0,0.0,38.0,4.0,NULL,0.0,14.7,9.9,20.8,0.0,51.0,100.0,assente
1004,NULL,18.0,10.0,12.0,2.0,0.0,0.0,8.0,6.0,0.0,8.0,127.0,8.0,0.0,0.0,0.0,0.0,38.0,NULL,0.0,15.0,29.0,0.0,35.0,5.0,NULL,1.0,15.5,10.0,22.5,0.0,40.0,99.0,assente
1005,NULL,10.0,2.0,6.0,1.0,0.0,0.0,7.0,6.0,0.0,12.0,151.0,12.0,0.0,0.0,0.0,0.0,8.0,NULL,0.0,24.0,9.0,0.0,11.0,2.0,NULL,0.0,12.6,8.7,17.6,6.8,56.0,99.0,assente
1006,NULL,7.0,9.0,2.0,8.0,0.0,0.0,14.0,6.0,0.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,32.0,NULL,0.0,30.0,12.0,0.0,16.0,4.0,NULL,0.0,11.7,7.9,17.8,0.0,23.0,63.0,assente
1007,NULL,20.0,10.0,33.0,0.0,0.0,0.0,10.0,10.0,1.0,14.0,15.0,14.0,0.0,2.0,0.0,2.0,19.0,NULL,0.0,23.0,18.0,2.0,23.0,5.0,NULL,0.0,13.2,6.4,21.0,0.0,27.0,72.0,assente
1008,NULL,61.0,11.0,76.0,0.0,0.0,0.0,38.0,38.0,0.0,25.0,23.0,25.0,0.0,4.0,0.0,11.0,35.0,NULL,0.0,184.0,27.0,4.0,42.0,15.0,NULL,1.0,16.1,8.4,24.0,0.0,26.0,77.0,assente
1009,NULL,83.0,18.0,165.0,0.0,0.0,0.0,46.0,46.0,1.0,56.0,37.0,56.0,0.0,14.0,0.0,8.0,102.0,NULL,0.0,242.0,63.0,14.0,91.0,28.0,NULL,4.0,17.1,10.2,24.6,0.0,31.0,78.0,assente
1010,NULL,14.0,5.0,113.0,0.0,0.0,0.0,37.0,36.0,0.0,10.0,20.0,10.0,0.0,19.0,0.0,6.0,39.0,NULL,0.0,292.0,7.0,19.0,32.0,25.0,NULL,3.0,16.7,11.2,23.7,0.0,32.0,81.0,assente
1011,NULL,41.0,9.0,57.0,0.0,0.0,0.0,10.0,10.0,0.0,27.0,58.0,27.0,0.0,9.0,0.0,8.0,13.0,NULL,0.0,48.0,7.0,9.0,25.0,18.0,NULL,4.0,15.0,11.1,20.2,0.0,46.0,88.0,assente
1012,NULL,8.0,4.0,38.0,1.0,0.0,0.0,16.0,15.0,1.0,14.0,66.0,14.0,0.0,18.0,0.0,9.0,14.0,NULL,0.0,49.0,4.0,18.0,21.0,18.0,NULL,7.0,14.9,11.0,18.7,0.2,57.0,79.0,assente
1013,NULL,34.0,1.0,111.0,0.0,0.0,0.0,14.0,14.0,0.0,12.0,41.0,12.0,0.0,21.0,0.0,7.0,31.0,NULL,0.0,66.0,3.0,21.0,12.0,9.0,NULL,6.0,17.5,9.2,25.1,0.0,27.0,86.0,assente
1014,NULL,21.0,15.0,123.0,1.0,0.0,0.0,42.0,40.0,0.0,44.0,68.0,44.0,0.0,74.0,0.0,16.0,32.0,NULL,0.0,185.0,16.0,74.0,99.0,83.0,NULL,8.0,17.8,12.3,23.3,7.0,34.0,97.0,assente
1015,NULL,3.0,5.0,35.0,2.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,8.0,0.0,11.0,0.0,8.0,5.0,NULL,0.0,27.0,2.0,11.0,5.0,3.0,NULL,20.0,13.8,11.0,18.1,5.2,61.0,99.0,assente
1016,NULL,7.0,15.0,119.0,0.0,0.0,0.0,6.0,6.0,0.0,18.0,14.0,18.0,0.0,50.0,0.0,16.0,9.0,NULL,0.0,130.0,2.0,50.0,68.0,66.0,NULL,56.0,14.5,10.6,19.3,0.0,52.0,95.0,assente
1017,NULL,3.0,16.0,74.0,0.0,0.0,0.0,18.0,18.0,0.0,13.0,19.0,13.0,0.0,32.0,0.0,29.0,15.0,NULL,0.0,41.0,1.0,32.0,29.0,28.0,NULL,106.0,13.9,10.4,17.5,0.0,48.0,89.0,assente
1018,NULL,5.0,27.0,61.0,1.0,0.0,0.0,11.0,10.0,0.0,7.0,5.0,7.0,0.0,17.0,0.0,8.0,8.0,NULL,0.0,35.0,0.0,17.0,15.0,15.0,NULL,253.0,15.0,8.8,22.4,0.0,41.0,96.0,assente
1019,NULL,0.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,0.0,10.0,0.0,23.0,1.0,NULL,0.0,35.0,0.0,10.0,11.0,11.0,NULL,155.0,15.7,10.3,21.8,0.0,40.0,99.0,assente
1020,NULL,2.0,6.0,44.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,7.0,7.0,0.0,18.0,0.0,28.0,2.0,NULL,0.0,18.0,2.0,18.0,9.0,7.0,NULL,333.0,16.6,10.4,23.5,0.0,39.0,93.0,assente
1021,NULL,2.0,14.0,267.0,0.0,0.0,0.0,11.0,11.0,0.0,22.0,10.0,22.0,0.0,26.0,0.0,22.0,3.0,NULL,0.0,27.0,0.0,26.0,6.0,6.0,NULL,49.0,16.7,12.0,21.8,0.0,45.0,95.0,assente
1022,NULL,5.0,16.0,422.0,0.0,0.0,0.0,15.0,15.0,0.0,14.0,20.0,14.0,0.0,46.0,0.0,87.0,12.0,NULL,0.0,38.0,0.0,46.0,22.0,21.0,NULL,64.0,16.6,12.5,21.9,0.0,40.0,74.0,assente
1023,NULL,2.0,17.0,503.0,0.0,0.0,0.0,14.0,14.0,3.0,13.0,27.0,13.0,0.0,35.0,0.0,122.0,5.0,NULL,0.0,15.0,0.0,35.0,16.0,16.0,NULL,94.0,16.4,11.1,22.3,0.0,50.0,93.0,assente
1024,NULL,0.0,13.0,488.0,1.0,0.0,0.0,16.0,15.0,0.0,16.0,38.0,16.0,0.0,57.0,0.0,113.0,9.0,NULL,0.0,13.0,0.0,57.0,11.0,11.0,NULL,100.0,18.0,14.8,22.0,0.0,53.0,91.0,assente
1025,NULL,1.0,5.0,121.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,18.0,7.0,0.0,35.0,0.0,93.0,5.0,NULL,0.0,13.0,0.0,35.0,3.0,3.0,NULL,28.0,15.9,13.7,18.9,12.2,68.0,98.0,assente
1026,NULL,1.0,15.0,294.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,0.0,14.0,0.0,68.0,5.0,NULL,0.0,5.0,0.0,14.0,1.0,1.0,NULL,42.0,15.6,11.0,21.5,2.4,49.0,100.0,assente
1027,NULL,2.0,9.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,13.0,0.0,143.0,3.0,NULL,0.0,1.0,0.0,13.0,1.0,1.0,NULL,22.0,13.3,9.6,17.7,0.0,34.0,90.0,assente
1028,NULL,3.0,2.0,23.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,0.0,9.0,0.0,27.0,1.0,NULL,0.0,1.0,0.0,9.0,7.0,7.0,NULL,15.0,9.1,5.9,12.1,2.8,65.0,92.0,assente
1029,NULL,0.0,10.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,14.0,0.0,7.0,2.0,NULL,0.0,4.0,0.0,14.0,3.0,3.0,NULL,32.0,10.0,4.4,16.6,0.0,15.0,87.0,assente
1030,NULL,0.0,6.0,40.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,4.0,0.0,47.0,4.0,NULL,0.0,2.0,0.0,4.0,0.0,0.0,NULL,22.0,9.8,4.8,14.7,0.0,17.0,62.0,assente
1031,NULL,1.0,6.0,70.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0,16.0,0.0,124.0,1.0,NULL,0.0,1.0,1.0,16.0,1.0,0.0,NULL,42.0,10.3,5.8,14.9,0.0,30.0,75.0,assente
1032,NULL,0.0,7.0,77.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,147.0,0.0,NULL,0.0,2.0,2.0,9.0,3.0,0.0,NULL,26.0,10.6,4.6,16.6,0.0,29.0,76.0,assente
1033,NULL,0.0,10.0,47.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,3.0,0.0,28.0,0.0,171.0,3.0,NULL,0.0,1.0,1.0,28.0,5.0,3.0,NULL,33.0,12.5,5.3,17.8,0.0,44.0,84.0,assente
1034,NULL,2.0,8.0,32.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,16.0,4.0,0.0,65.0,0.0,118.0,1.0,NULL,0.0,2.0,1.0,65.0,2.0,1.0,NULL,25.0,14.3,12.2,17.6,0.0,57.0,86.0,assente
1035,NULL,3.0,8.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,22.0,3.0,0.0,54.0,0.0,63.0,2.0,NULL,0.0,2.0,0.0,54.0,1.0,1.0,NULL,33.0,15.2,12.7,19.0,0.0,60.0,87.0,assente
1036,NULL,1.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,70.0,0.0,84.0,1.0,NULL,0.0,1.0,0.0,70.0,2.0,2.0,NULL,12.0,13.7,12.4,14.7,14.0,88.0,100.0,assente
1037,NULL,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,NULL,0.0,0.0,0.0,4.0,0.0,0.0,NULL,21.0,15.4,13.1,18.3,24.4,86.0,100.0,assente
1038,NULL,5.0,27.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,32.0,0.0,59.0,3.0,NULL,0.0,3.0,2.0,31.0,3.0,1.0,NULL,24.0,13.7,9.5,17.4,1.2,41.0,100.0,assente
1039,NULL,0.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,13.0,0.0,35.0,1.0,NULL,0.0,1.0,0.0,13.0,0.0,0.0,NULL,13.0,13.0,7.5,18.3,0.0,32.0,81.0,assente
1040,NULL,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,14.0,1.0,125.0,0.0,NULL,0.0,1.0,0.0,13.0,0.0,0.0,NULL,17.0,13.5,8.0,18.7,0.0,37.0,79.0,assente
1041,NULL,1.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,63.0,0.0,NULL,0.0,0.0,0.0,15.0,1.0,1.0,NULL,12.0,12.7,9.5,19.1,7.4,45.0,99.0,assente
1042,NULL,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,NULL,0.0,0.0,0.0,7.0,0.0,0.0,NULL,6.0,13.6,8.7,19.1,0.0,52.0,99.0,assente
1043,NULL,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,NULL,0.0,0.0,0.0,3.0,0.0,0.0,NULL,8.0,14.4,11.9,18.6,1.8,52.0,97.0,assente
1044,NULL,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,14.0,0.0,NULL,0.0,0.0,0.0,7.0,0.0,0.0,NULL,5.0,13.6,11.2,17.6,4.0,63.0,99.0,assente
1045,NULL,1.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.0,0.0,NULL,0.0,0.0,0.0,5.0,0.0,0.0,NULL,7.0,15.5,9.8,21.0,0.2,44.0,100.0,assente
1046,NULL,0.0,5.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,0.0,NULL,0.0,0.0,0.0,10.0,0.0,0.0,NULL,6.0,14.0,11.4,18.2,13.6,61.0,100.0,assente
1047,NULL,0.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,10.0,0.0,NULL,1.0,0.0,0.0,5.0,0.0,0.0,NULL,5.0,14.0,11.1,17.4,0.8,71.0,100.0,medio
1048,NULL,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,NULL,0.0,0.0,0.0,2.0,0.0,0.0,NULL,7.0,15.3,11.9,18.7,1.8,72.0,98.0,assente
1049,NULL,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,23.0,0.0,NULL,3.0,0.0,0.0,7.0,0.0,0.0,NULL,8.0,14.7,12.4,19.8,6.2,56.0,99.0,alto
1050,NULL,0.0,8.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,0.0,NULL,0.0,0.0,0.0,5.0,0.0,0.0,NULL,3.0,13.3,10.0,17.6,3.2,58.0,99.0,assente
1051,NULL,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,20.0,0.0,21.0,8.0,NULL,0.0,0.0,0.0,20.0,0.0,0.0,NULL,2.0,15.1,12.1,17.9,0.0,79.0,97.0,assente
1052,NULL,1.0,54.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,16.0,1.0,43.0,35.0,NULL,0.0,0.0,0.0,14.0,0.0,0.0,NULL,7.0,18.6,14.7,24.2,1.4,51.0,100.0,assente
1053,NULL,1.0,44.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,63.0,17.0,NULL,2.0,0.0,0.0,18.0,0.0,0.0,NULL,18.0,18.9,13.2,24.6,0.0,49.0,100.0,medio
1054,NULL,0.0,51.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,59.0,4.0,71.0,18.0,NULL,1.0,0.0,0.0,55.0,0.0,0.0,NULL,26.0,20.2,15.6,26.4,2.2,49.0,97.0,medio
1055,NULL,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.0,1.0,38.0,1.0,NULL,2.0,0.0,0.0,18.0,0.0,0.0,NULL,16.0,18.3,14.7,25.3,5.6,41.0,97.0,medio
1056,NULL,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,18.0,1.0,NULL,1.0,0.0,0.0,7.0,0.0,0.0,NULL,18.0,20.3,13.5,26.7,0.0,36.0,98.0,medio
1057,NULL,0.0,45.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,17.0,1.0,53.0,1.0,NULL,3.0,0.0,0.0,16.0,0.0,0.0,NULL,36.0,21.7,16.3,26.6,0.0,41.0,82.0,alto
1058,NULL,0.0,36.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,55.0,1.0,NULL,2.0,0.0,0.0,10.0,0.0,0.0,NULL,29.0,21.6,17.2,25.9,0.0,40.0,77.0,medio
1059,NULL,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,11.0,1.0,35.0,3.0,NULL,5.0,0.0,0.0,10.0,0.0,0.0,NULL,19.0,19.7,16.1,25.3,0.0,53.0,92.0,alto
1060,NULL,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,3.0,NULL,0.0,0.0,0.0,7.0,0.0,0.0,NULL,10.0,15.6,14.3,18.5,3.6,69.0,97.0,assente
1061,NULL,0.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,18.0,NULL,1.0,0.0,0.0,3.0,0.0,0.0,NULL,36.0,20.0,12.5,26.7,0.0,29.0,95.0,medio
1062,NULL,0.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,12.0,NULL,2.0,0.0,0.0,1.0,0.0,0.0,NULL,41.0,21.7,15.6,27.6,0.0,39.0,80.0,medio
1063,NULL,0.0,72.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,47.0,12.0,NULL,3.0,0.0,0.0,1.0,0.0,0.0,NULL,43.0,22.8,16.3,28.6,0.0,34.0,91.0,alto
1064,NULL,0.0,101.0,24.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,55.0,14.0,NULL,0.0,0.0,0.0,3.0,0.0,0.0,NULL,63.0,22.9,18.6,28.7,0.0,46.0,95.0,assente
1065,NULL,0.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,20.0,4.0,NULL,1.0,0.0,0.0,7.0,0.0,0.0,NULL,22.0,20.5,17.0,24.0,0.2,45.0,88.0,medio
1066,NULL,0.0,26.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,5.0,NULL,3.0,0.0,0.0,3.0,0.0,0.0,NULL,19.0,20.9,16.7,25.0,0.0,45.0,76.0,alto
1067,NULL,0.0,32.0,22.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,36.0,16.0,NULL,6.0,0.0,0.0,1.0,0.0,0.0,NULL,27.0,22.8,16.9,28.2,0.0,36.0,71.0,alto
1068,NULL,0.0,34.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,27.0,10.0,NULL,4.0,0.0,0.0,2.0,0.0,0.0,NULL,32.0,23.7,17.8,29.5,0.0,32.0,86.0,alto
1069,NULL,0.0,44.0,24.0,19.0,0.0,0.0,20.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,46.0,7.0,NULL,4.0,0.0,0.0,0.0,0.0,0.0,NULL,36.0,23.7,17.6,29.5,0.0,37.0,80.0,alto
1070,NULL,0.0,46.0,17.0,12.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,33.0,6.0,NULL,4.0,0.0,0.0,0.0,0.0,0.0,NULL,27.0,23.7,18.3,29.2,0.0,49.0,82.0,alto
1071,NULL,0.0,32.0,24.0,5.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,25.0,16.0,NULL,4.0,0.0,0.0,1.0,0.0,0.0,NULL,18.0,23.8,19.7,27.6,0.0,61.0,91.0,alto
1072,NULL,0.0,50.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,45.0,9.0,NULL,3.0,0.0,0.0,2.0,0.0,0.0,NULL,19.0,24.3,20.3,29.1,0.0,48.0,93.0,alto
1073,NULL,0.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,24.0,14.0,NULL,8.0,0.0,0.0,3.0,0.0,0.0,NULL,25.0,23.9,19.6,30.0,0.0,46.0,87.0,alto
1074,NULL,0.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,26.0,4.0,NULL,13.0,0.0,0.0,1.0,0.0,0.0,NULL,29.0,23.5,18.8,29.6,7.4,48.0,91.0,alto
1075,NULL,0.0,35.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0,0.0,27.0,9.0,NULL,10.0,0.0,0.0,2.0,0.0,0.0,NULL,23.0,24.3,19.5,30.0,0.0,39.0,88.0,alto
1076,NULL,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,27.0,6.0,NULL,5.0,0.0,0.0,4.0,0.0,0.0,NULL,10.0,22.4,18.8,26.6,0.0,54.0,87.0,alto
